ai_classification,ai_prob,category,classification,comments,dec,detnam,ep_name,exp_time,flux,id,image_url,index_in_det,light_curve_url,obs_id,obs_time,pos_err,r_dec,r_ra,r_sep,ra,records,significance,simbad_name,spectrum_url,src_name,tags,trigger,type,url,version,wxt_name
source,0.8414325714111328,Unverified,Unverified,,-17.753,CMOS13,,1365.0,1.20e-11,1715788,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900502403/CMOS13/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900502403/CMOS13/1/v1,11900502403,2025-12-05 03:49:13,2.657,,,,356.158,https://ep.bao.ac.cn/ep/data_center/ta_records/1715788,5.04,WXT J234438.0-174509,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900502403/CMOS13/1/v1,ep11900502403wxt13s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/526969/1306733,v1,
source,0.9992092847824096,Unverified,Unverified,,28.612,CMOS31,,9175.0,5.93e-12,1717039,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001035/CMOS31/v3?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001035/CMOS31/2/v3,06800001035,2025-12-05 12:02:51,2.677,,,,61.168,https://ep.bao.ac.cn/ep/data_center/ta_records/1717039,5.03,WXT J040440+283642,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001035/CMOS31/2/v3,ep06800001035wxt31s2,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527623/1307726,v3,
source,0.926981806755066,Unverified,Unverified,,-41.320,CMOS47,,3606.0,8.84e-12,1716404,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/08500000459/CMOS47/v3?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/08500000459/CMOS47/1/v3,08500000459,2025-12-05 05:12:20,3.028,-41.320,146.817,0.00,146.817,https://ep.bao.ac.cn/ep/data_center/ta_records/1716404,5.03,WXT J094716-411911,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/08500000459/CMOS47/1/v3,ep08500000459wxt47s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527148/1307229,v3,
source,0.9419771432876588,Unverified,Unverified,,-22.448,CMOS12,,3098.0,1.24e-11,1716365,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/08500000459/CMOS12/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/08500000459/CMOS12/1/v2,08500000459,2025-12-05 05:35:04,3.173,-22.448,63.520,0.00,63.520,https://ep.bao.ac.cn/ep/data_center/ta_records/1716365,5.03,WXT J041405-222653,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/08500000459/CMOS12/1/v2,ep08500000459wxt12s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527140/1307192,v2,
source,0.950869619846344,Unverified,Unverified,,20.819,CMOS13,,2318.0,1.38e-11,1716579,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652649/CMOS13/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652649/CMOS13/1/v1,11916652649,2025-12-05 10:56:47,2.842,,,,177.812,https://ep.bao.ac.cn/ep/data_center/ta_records/1716579,5.02,WXT J115115+204910,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652649/CMOS13/1/v1,ep11916652649wxt13s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527400/1307384,v1,
source,0.9268460869789124,Unverified,Unverified,,-2.316,CMOS29,,1207.0,1.93e-11,1716340,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900502405/CMOS29/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900502405/CMOS29/1/v1,11900502405,2025-12-05 07:04:47,2.901,,,,30.148,https://ep.bao.ac.cn/ep/data_center/ta_records/1716340,5.02,WXT J020035-021856,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900502405/CMOS29/1/v1,ep11900502405wxt29s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527282/1307159,v1,
source,0.961847960948944,Unverified,Unverified,,9.724,CMOS17,,2965.0,1.39e-11,1716471,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001034/CMOS17/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001034/CMOS17/1/v1,06800001034,2025-12-05 08:49:21,2.978,,,,59.405,https://ep.bao.ac.cn/ep/data_center/ta_records/1716471,5.02,WXT J035737+094325,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001034/CMOS17/1/v1,ep06800001034wxt17s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527339/1307282,v1,
source,0.9956421852111816,Unverified,Unverified,,26.286,CMOS17,,1974.0,1.84e-11,1716581,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652649/CMOS17/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652649/CMOS17/1/v1,11916652649,2025-12-05 10:56:47,3.168,,,,143.956,https://ep.bao.ac.cn/ep/data_center/ta_records/1716581,5.02,WXT J093550+261711,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652649/CMOS17/1/v1,ep11916652649wxt17s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527401/1307388,v1,
source,0.9740832448005676,Unverified,Unverified,,-45.664,CMOS2,,3158.0,1.17e-11,1716359,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/08500000459/CMOS2/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/08500000459/CMOS2/1/v2,08500000459,2025-12-05 05:26:03,3.154,-45.664,48.515,0.00,48.515,https://ep.bao.ac.cn/ep/data_center/ta_records/1716359,5.02,WXT J031404-453949,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/08500000459/CMOS2/1/v2,ep08500000459wxt2s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527138/1307182,v2,
source,0.990607738494873,Unverified,Unverified,,-9.636,CMOS43,,1536.0,2.15e-11,1718134,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652658/CMOS43/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652658/CMOS43/1/v1,11916652658,2025-12-05 23:54:17,3.010,-9.662,137.226,110.37,137.243,https://ep.bao.ac.cn/ep/data_center/ta_records/1718134,5.01,WXTJ090854-093944,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652658/CMOS43/1/v1,ep11916652658wxt43s1,[],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/340261/1308699,v1,
source,0.8901165723800659,Unverified,Unverified,,-2.162,CMOS24,,2132.0,6.94e-12,1716584,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652649/CMOS24/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652649/CMOS24/1/v1,11916652649,2025-12-05 10:56:47,2.536,,,,153.570,https://ep.bao.ac.cn/ep/data_center/ta_records/1716584,5.01,WXT J101417-020943,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652649/CMOS24/1/v1,ep11916652649wxt24s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527403/1307395,v1,
source,0.9721131920814514,Unverified,Unverified,,-44.164,CMOS30,,2920.8318,1.13e-11,1716386,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/08500000459/CMOS30/v2?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/08500000459/CMOS30/2/v2,08500000459,2025-12-05 05:41:18,3.214,-44.164,112.187,0.00,112.187,https://ep.bao.ac.cn/ep/data_center/ta_records/1716386,5.00,WXT J072844-440949,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/08500000459/CMOS30/2/v2,ep08500000459wxt30s2,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527145/1307210,v2,
